Company Account,Merchant Account,Psp Reference,Merchant Reference,Record Type,Creation Date,TimeZone,Gross Currency,Gross Debit,Gross Credit,Commission,Markup,Net Currency,Net Debit,Net Credit,Batch Number
LumoGroup,LumoECOM_EU,8620000000001397,ORD-505347,Authorised,2026-06-10 11:36:29,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001049,ORD-504999,Settled,2026-06-10 11:36:45,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001204,ORD-505154,Settled,2026-06-10 11:39:29,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000000799,ORD-504749,Settled,2026-06-10 11:45:21,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,24
LumoGroup,LumoECOM_EU,8620000000001498,ORD-505448,Settled,2026-06-10 11:59:03,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001559,ORD-505509,Refused,2026-06-10 11:59:27,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001560,ORD-505510,Refused,2026-06-10 12:02:14,Europe/Amsterdam,EUR,,24.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000194,ORD-504144,Settled,2026-06-10 12:03:32,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000001126,ORD-505076,Authorised,2026-06-10 12:09:58,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000000680,ORD-504630,Authorised,2026-06-10 12:10:31,Europe/Amsterdam,USD,,24.99,,,USD,,,24
LumoGroup,LumoAPP_US,8620000000000869,ORD-504819,Settled,2026-06-10 12:16:08,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001397,ORD-505347,Settled,2026-06-10 12:19:29,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000540,ORD-504490,Settled,2026-06-10 12:36:25,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000000402,ORD-504352,Authorised,2026-06-10 12:45:28,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000000188,ORD-504138,Refunded,2026-06-10 12:45:28,Europe/Amsterdam,USD,9.99,,,,USD,9.99,,24
LumoGroup,LumoECOM_EU,8620000000000402,ORD-504352,Settled,2026-06-10 13:16:28,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000813,ORD-504763,Authorised,2026-06-10 13:20:04,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000912,ORD-504862,Authorised,2026-06-10 13:32:21,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000912,ORD-504862,Settled,2026-06-10 13:43:21,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000000680,ORD-504630,Settled,2026-06-10 13:44:31,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,24
LumoGroup,LumoECOM_EU,8620000000001126,ORD-505076,Settled,2026-06-10 13:49:58,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000121,ORD-504071,Authorised,2026-06-10 14:12:44,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001477,ORD-505427,Authorised,2026-06-10 14:14:26,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000548,ORD-504498,Authorised,2026-06-10 14:17:42,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001477,ORD-505427,Settled,2026-06-10 14:21:26,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001654,ORD-505604,Authorised,2026-06-10 14:27:00,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000548,ORD-504498,Settled,2026-06-10 14:28:42,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001654,ORD-505604,Settled,2026-06-10 14:40:00,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000813,ORD-504763,Settled,2026-06-10 14:53:04,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000516,ORD-504466,Authorised,2026-06-10 15:30:15,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000121,ORD-504071,Settled,2026-06-10 15:31:44,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001009,ORD-504959,Authorised,2026-06-10 15:32:42,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001502,ORD-505452,Authorised,2026-06-10 15:37:51,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000565,ORD-504515,Authorised,2026-06-10 15:54:54,Europe/Amsterdam,GBP,,21.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000001009,ORD-504959,Settled,2026-06-10 16:12:42,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001155,ORD-505105,Authorised,2026-06-10 16:50:50,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000516,ORD-504466,Settled,2026-06-10 17:03:15,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000860,ORD-504810,Authorised,2026-06-10 17:09:03,Europe/Amsterdam,EUR,,24.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001502,ORD-505452,Settled,2026-06-10 17:09:51,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001268,ORD-505218,Authorised,2026-06-10 17:17:05,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000565,ORD-504515,Settled,2026-06-10 17:18:54,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,24
LumoGroup,LumoECOM_EU,8620000000000361,ORD-504311,Authorised,2026-06-10 17:31:12,Europe/Amsterdam,EUR,,24.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001628,ORD-505578,Authorised,2026-06-10 17:32:38,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001155,ORD-505105,Settled,2026-06-10 17:34:50,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000235,ORD-504185,Authorised,2026-06-10 18:14:45,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000829,ORD-504779,Authorised,2026-06-10 18:22:11,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000235,ORD-504185,Settled,2026-06-10 18:22:45,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001268,ORD-505218,Settled,2026-06-10 18:28:05,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000000860,ORD-504810,Settled,2026-06-10 18:29:03,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,24
LumoGroup,LumoECOM_EU,8620000000001628,ORD-505578,Settled,2026-06-10 18:50:38,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000001555,ORD-505505,Authorised,2026-06-10 19:00:48,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000829,ORD-504779,Settled,2026-06-10 19:08:11,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000000712,ORD-504662,Authorised,2026-06-10 19:08:30,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000000643,ORD-504593,Authorised,2026-06-10 19:09:54,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000361,ORD-504311,Settled,2026-06-10 19:10:12,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,24
LumoGroup,LumoECOM_EU,8620000000001552,ORD-505502,Authorised,2026-06-10 19:18:29,Europe/Amsterdam,EUR,,24.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000546,ORD-504496,Authorised,2026-06-10 19:27:35,Europe/Amsterdam,GBP,,21.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000001555,ORD-505505,Settled,2026-06-10 19:31:48,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000000643,ORD-504593,Settled,2026-06-10 19:39:54,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000460,ORD-504410,Authorised,2026-06-10 19:41:12,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000001684,ORD-505634,Authorised,2026-06-10 19:42:54,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000001388,ORD-505338,Authorised,2026-06-10 19:47:49,Europe/Amsterdam,USD,,59.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001371,ORD-505321,Authorised,2026-06-10 19:48:10,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000639,ORD-504589,Authorised,2026-06-10 20:02:04,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001684,ORD-505634,Settled,2026-06-10 20:09:54,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000546,ORD-504496,Settled,2026-06-10 20:10:35,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,24
LumoGroup,LumoECOM_EU,8620000000001670,ORD-505620,Authorised,2026-06-10 20:16:23,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000924,ORD-504874,Authorised,2026-06-10 20:19:45,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001552,ORD-505502,Settled,2026-06-10 20:21:29,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,24
LumoGroup,LumoECOM_EU,8620000000000687,ORD-504637,Authorised,2026-06-10 20:23:19,Europe/Amsterdam,GBP,,54.99,,,GBP,,,24
LumoGroup,LumoAPP_US,8620000000000712,ORD-504662,Settled,2026-06-10 20:27:30,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001632,ORD-505582,Authorised,2026-06-10 20:27:34,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001367,ORD-505317,Authorised,2026-06-10 20:27:52,Europe/Amsterdam,GBP,,21.99,,,GBP,,,24
LumoGroup,LumoAPP_US,8620000000001388,ORD-505338,Settled,2026-06-10 20:28:49,Europe/Amsterdam,USD,,59.99,1.14,0.36,USD,,58.49,24
LumoGroup,LumoECOM_EU,8620000000000519,ORD-504469,Authorised,2026-06-10 20:32:33,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000460,ORD-504410,Settled,2026-06-10 20:34:12,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000001367,ORD-505317,Settled,2026-06-10 20:39:52,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,24
LumoGroup,LumoECOM_EU,8620000000000924,ORD-504874,Settled,2026-06-10 20:53:45,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000639,ORD-504589,Settled,2026-06-10 21:09:04,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000001371,ORD-505321,Settled,2026-06-10 21:30:10,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001670,ORD-505620,Settled,2026-06-10 21:34:23,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001632,ORD-505582,Settled,2026-06-10 21:53:34,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000519,ORD-504469,Settled,2026-06-10 22:00:33,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000687,ORD-504637,Settled,2026-06-10 22:12:19,Europe/Amsterdam,GBP,,54.99,1.04,0.33,GBP,,53.62,24
LumoGroup,LumoECOM_EU,8620000000001184,ORD-505134,Authorised,2026-06-11 09:13:36,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000124,ORD-504074,Authorised,2026-06-11 09:17:00,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000819,ORD-504769,Authorised,2026-06-11 09:19:39,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001378,ORD-505328,Authorised,2026-06-11 09:22:18,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000124,ORD-504074,Settled,2026-06-11 09:29:00,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000000819,ORD-504769,Settled,2026-06-11 09:39:39,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000373,ORD-504323,Authorised,2026-06-11 09:47:04,Europe/Amsterdam,GBP,,54.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000215,ORD-504165,Authorised,2026-06-11 09:54:17,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000373,ORD-504323,Settled,2026-06-11 09:58:04,Europe/Amsterdam,GBP,,54.99,1.04,0.33,GBP,,53.62,24
LumoGroup,LumoECOM_EU,8620000000000428,ORD-504378,Authorised,2026-06-11 10:18:53,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001184,ORD-505134,Settled,2026-06-11 10:22:36,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001098,ORD-505048,Authorised,2026-06-11 10:28:50,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001474,ORD-505424,Authorised,2026-06-11 10:34:25,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000162,ORD-504112,Authorised,2026-06-11 10:39:11,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000001202,ORD-505152,Authorised,2026-06-11 10:51:49,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001783,ORD-507777,Authorised,2026-06-11 11:00:00,Europe/Amsterdam,GBP,,21.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000001378,ORD-505328,Settled,2026-06-11 11:02:18,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000001007,ORD-504957,Authorised,2026-06-11 11:03:02,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001471,ORD-505421,Authorised,2026-06-11 11:22:23,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000936,ORD-504886,Authorised,2026-06-11 11:25:31,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001783,ORD-507777,Settled,2026-06-11 11:26:00,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,24
LumoGroup,LumoECOM_EU,8620000000000428,ORD-504378,Settled,2026-06-11 11:30:53,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000678,ORD-504628,Authorised,2026-06-11 11:36:40,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001066,ORD-505016,Authorised,2026-06-11 11:39:29,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000215,ORD-504165,Settled,2026-06-11 11:40:17,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001098,ORD-505048,Settled,2026-06-11 11:40:50,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001007,ORD-504957,Settled,2026-06-11 11:47:02,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000001202,ORD-505152,Settled,2026-06-11 11:47:49,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001471,ORD-505421,Settled,2026-06-11 11:53:23,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000000179,ORD-504129,Authorised,2026-06-11 11:57:25,Europe/Amsterdam,EUR,,4.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000405,ORD-504355,Authorised,2026-06-11 12:10:02,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001066,ORD-505016,Settled,2026-06-11 12:18:29,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000000179,ORD-504129,Settled,2026-06-11 12:19:25,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001117,ORD-505067,Authorised,2026-06-11 12:21:40,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000405,ORD-504355,Settled,2026-06-11 12:22:02,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,24
LumoGroup,LumoECOM_EU,8620000000000162,ORD-504112,Settled,2026-06-11 12:24:11,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001474,ORD-505424,Settled,2026-06-11 12:24:25,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000581,ORD-504531,Authorised,2026-06-11 12:39:39,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000678,ORD-504628,Settled,2026-06-11 12:41:40,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000794,ORD-504744,Authorised,2026-06-11 12:57:18,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000936,ORD-504886,Settled,2026-06-11 13:01:31,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000000290,ORD-504240,Authorised,2026-06-11 13:07:50,Europe/Amsterdam,USD,,4.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000000794,ORD-504744,Settled,2026-06-11 13:17:18,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000001530,ORD-505480,Authorised,2026-06-11 13:19:39,Europe/Amsterdam,USD,,4.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001117,ORD-505067,Settled,2026-06-11 13:33:40,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000001217,ORD-505167,Refused,2026-06-11 13:37:36,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000000290,ORD-504240,Settled,2026-06-11 13:45:50,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,24
LumoGroup,LumoECOM_EU,8620000000001627,ORD-505577,Authorised,2026-06-11 13:54:18,Europe/Amsterdam,GBP,,54.99,,,GBP,,,24
LumoGroup,LumoAPP_US,8620000000000419,ORD-504369,Authorised,2026-06-11 14:01:42,Europe/Amsterdam,USD,,59.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001627,ORD-505577,Settled,2026-06-11 14:10:18,Europe/Amsterdam,GBP,,54.99,1.04,0.33,GBP,,53.62,24
LumoGroup,LumoAPP_US,8620000000000419,ORD-504369,Settled,2026-06-11 14:10:42,Europe/Amsterdam,USD,,59.99,1.14,0.36,USD,,58.49,24
LumoGroup,LumoECOM_EU,8620000000000581,ORD-504531,Settled,2026-06-11 14:15:39,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000001269,ORD-505219,Authorised,2026-06-11 14:25:26,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000001357,ORD-505307,Refused,2026-06-11 14:27:54,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoAPP_US,8620000000000686,ORD-504636,Authorised,2026-06-11 14:56:02,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001005,ORD-504955,Authorised,2026-06-11 15:03:13,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000001530,ORD-505480,Settled,2026-06-11 15:09:39,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,24
LumoGroup,LumoAPP_US,8620000000000889,ORD-504839,Authorised,2026-06-11 15:16:06,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000000208,ORD-504158,Authorised,2026-06-11 15:31:59,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000555,ORD-504505,Authorised,2026-06-11 15:43:04,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000001269,ORD-505219,Settled,2026-06-11 15:46:26,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001005,ORD-504955,Settled,2026-06-11 15:57:13,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000000349,ORD-504299,Authorised,2026-06-11 16:12:18,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000000204,ORD-504154,Authorised,2026-06-11 16:22:56,Europe/Amsterdam,GBP,,4.49,,,GBP,,,24
LumoGroup,LumoAPP_US,8620000000000349,ORD-504299,Settled,2026-06-11 16:26:18,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoAPP_US,8620000000000889,ORD-504839,Settled,2026-06-11 16:31:06,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000555,ORD-504505,Settled,2026-06-11 16:32:04,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000213,ORD-504163,Authorised,2026-06-11 16:32:07,Europe/Amsterdam,GBP,,8.99,,,GBP,,,24
LumoGroup,LumoAPP_US,8620000000000686,ORD-504636,Settled,2026-06-11 16:36:02,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000000597,ORD-504547,Authorised,2026-06-11 16:36:03,Europe/Amsterdam,GBP,,21.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000833,ORD-504783,Refused,2026-06-11 16:40:02,Europe/Amsterdam,EUR,,24.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000208,ORD-504158,Settled,2026-06-11 16:51:59,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000000597,ORD-504547,Settled,2026-06-11 16:54:03,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,24
LumoGroup,LumoECOM_EU,8620000000001686,ORD-505636,Authorised,2026-06-11 16:59:03,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
LumoGroup,LumoECOM_EU,8620000000000204,ORD-504154,Settled,2026-06-11 17:03:56,Europe/Amsterdam,GBP,,4.49,0.09,0.02,GBP,,4.38,24
LumoGroup,LumoECOM_EU,8620000000000213,ORD-504163,Settled,2026-06-11 17:30:07,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,24
LumoGroup,LumoECOM_EU,8620000000000391,ORD-504341,Authorised,2026-06-11 17:46:07,Europe/Amsterdam,GBP,,54.99,,,GBP,,,24
LumoGroup,LumoECOM_EU,8620000000000391,ORD-504341,Settled,2026-06-11 17:55:07,Europe/Amsterdam,GBP,,54.99,1.04,0.33,GBP,,53.62,24
LumoGroup,LumoAPP_US,8620000000001130,ORD-505080,Authorised,2026-06-11 17:56:20,Europe/Amsterdam,USD,,9.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000001686,ORD-505636,Settled,2026-06-11 18:00:03,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,24
LumoGroup,LumoAPP_US,8620000000000403,ORD-504353,Authorised,2026-06-11 18:13:56,Europe/Amsterdam,USD,,24.99,,,USD,,,24
LumoGroup,LumoECOM_EU,8620000000000283,ORD-504233,Authorised,2026-06-11 18:28:48,Europe/Amsterdam,EUR,,59.99,,,EUR,,,24
LumoGroup,LumoAPP_US,8620000000001130,ORD-505080,Settled,2026-06-11 18:30:20,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,24
LumoGroup,LumoECOM_EU,8620000000001687,ORD-505637,Authorised,2026-06-11 18:51:28,Europe/Amsterdam,EUR,,9.99,,,EUR,,,24
